SSN,Longitude,Latitude,Country,Site,Cluster,Profile,Depth,Clay_8um,CORG,pH,Alox,Feox,Caex,MAT,MAP,PET,CIA,LandCover
icr033640,38.25499344,4.19199514,Ethiopia,Mega,3,2,Subsoil,81.158,1.39,8.24,0.2303797,0.212677,24.2,20.73333347,540,1910,82.94444412,Other
icr033644,38.26151276,4.19660807,Ethiopia,Mega,3,5,Topsoil,32.29,1.03,8.3,0.1883412,0.2435253,12.38,20.7541666,539,1914,83.27127174,Grassland
icr033646,38.2550621,4.19681788,Ethiopia,Mega,3,6,Topsoil,77.353,1.98,7.96,0.2561333,0.2188012,32.63,20.73333347,540,1910,78.98680968,Other
icr033648,38.25992966,4.19321823,Ethiopia,Mega,3,8,Topsoil,84.585,1.99,7.96,0.2809357,0.2483615,33.51,20.7541666,539,1914,80.95998387,Other
icr033650,38.26251221,4.19403315,Ethiopia,Mega,3,9,Topsoil,51.504,1.25,8.16,0.1811232,0.2076922,16.67,20.7541666,539,1914,77.83295658,Other
icr033652,38.25653076,4.18987989,Ethiopia,Mega,3,10,Topsoil,77.955,1.42,8.32,0.2933556,0.2934332,28.45,20.58333345,542,1901,81.64848469,Grassland
icr033655,38.25818253,4.19717789,Ethiopia,Mega,3,11,Subsoil,41.531,0.86,8.32,0.1755641,0.1870174,14.69,20.73333347,540,1910,80.68826162,Other
icr033659,38.26263046,4.21886492,Ethiopia,Mega,4,3,Subsoil,77.026,1,8.23,0.1147254,0.1312703,16.28,20.79166655,544,1920,82.40028926,Other
icr033660,38.26618958,4.21564007,Ethiopia,Mega,4,4,Topsoil,77.332,1.46,7.86,0.2328518,0.1896511,21.92,20.8125,542,1924,80.84178694,Other
icr033661,38.26618958,4.21564007,Ethiopia,Mega,4,4,Subsoil,75.68,0.93,8.22,0.2075977,0.1998377,20.2,20.8125,542,1924,81.95976505,Other
icr033664,38.26822662,4.2133522,Ethiopia,Mega,4,6,Topsoil,82.248,1.49,7.65,0.2293187,0.1929991,19.06,20.8041666,543,1923,81.81270611,Other
icr033665,38.26822662,4.2133522,Ethiopia,Mega,4,6,Subsoil,92.184,1.05,8.07,0.2476955,0.2553487,21.35,20.8041666,543,1923,82.35417445,Other
icr033666,38.26177597,4.21713495,Ethiopia,Mega,4,7,Topsoil,73.557,1.43,8.08,0.2255002,0.2204242,21.57,20.79166655,544,1920,80.74600201,Other
icr033667,38.26177597,4.21713495,Ethiopia,Mega,4,7,Subsoil,79.727,1.28,8.11,0.2065559,0.2237513,22.72,20.79166655,544,1920,82.61628122,Other
icr033670,38.2648468,4.2167902,Ethiopia,Mega,4,9,Topsoil,68.479,1.42,8.11,0.2109778,0.2069642,18.96,20.79166655,544,1920,81.60086027,Other
icr033671,38.2648468,4.2167902,Ethiopia,Mega,4,9,Subsoil,81.183,1.25,8.28,0.207092,0.2235225,18.98,20.79166655,544,1920,81.62507408,Other
icr033680,38.28763199,4.14943218,Ethiopia,Mega,5,3,Topsoil,76.775,1.7,8.23,0.2400056,0.2463854,28.24,20.14166673,549,1865,82.35740266,Other
icr033683,38.28944778,4.15602684,Ethiopia,Mega,5,5,Subsoil,91.088,1.58,8.43,0.314193,0.3157287,30.03,20.37916668,546,1882,81.88162816,Other
icr033684,38.28890991,4.14876318,Ethiopia,Mega,5,6,Topsoil,64.952,1.5,7.53,0.1585969,0.1189328,18.34,20.14166673,549,1865,82.79713826,Cropland
icr033685,38.28890991,4.14876318,Ethiopia,Mega,5,6,Subsoil,76.916,1.32,8.08,0.1846658,0.1572468,25.57,20.14166673,549,1865,84.98718639,Cropland
icr033689,38.28966904,4.15512705,Ethiopia,Mega,5,8,Subsoil,79.31,1.38,8.2,0.2185316,0.2440858,22.8,20.37916668,546,1882,80.60384429,Other
icr033690,38.29149628,4.15103293,Ethiopia,Mega,5,9,Topsoil,71.598,2.48,8.13,0.2115275,0.1331008,32.05,20.37916668,546,1882,81.2076367,Other
icr033695,38.29178238,4.14841986,Ethiopia,Mega,5,12,Subsoil,79.467,1.66,8.29,0.1964334,0.1998677,24.89,20.23749991,549,1871,82.22978103,Other
icr033699,38.28580475,4.17198801,Ethiopia,Mega,6,2,Subsoil,90.171,2.31,8.08,0.3190125,0.2032573,41.33,20.62916676,541,1905,81.02423526,Other
icr033704,38.28643417,4.17901516,Ethiopia,Mega,6,5,Topsoil,90.258,2.23,8.12,0.3350757,0.1963047,41.47,20.7125001,537,1913,86.19282266,Grassland
icr033710,38.28494644,4.17213821,Ethiopia,Mega,6,9,Topsoil,92.608,2.37,8.16,0.3128307,0.174714,42.21,20.62916676,541,1905,85.94046009,Other
icr033716,38.2864151,4.19774199,Ethiopia,Mega,7,2,Topsoil,84.163,1.53,7.91,0.2166721,0.1841766,21.62,20.81249988,540,1926,85.00248533,Grassland
icr033724,38.28303909,4.19504309,Ethiopia,Mega,7,6,Topsoil,45.979,1.25,8.25,0.2150438,0.3479657,16.79,20.73749999,543,1923,83.35978219,Grassland
icr033729,38.2829628,4.19272709,Ethiopia,Mega,7,9,Topsoil,54.829,1.23,8.21,0.2270145,0.2733128,15.93,20.73749999,543,1923,78.73805026,Grassland
icr033732,38.28134918,4.2169199,Ethiopia,Mega,8,1,Topsoil,59.9275,1.24,8.14,0.4690151,0.5362231,18.04,20.69583344,549,1922,71.33321097,Grassland
icr033733,38.28134918,4.2169199,Ethiopia,Mega,8,1,Subsoil,83.678,1.22,8.47,0.3006482,0.2983544,21.66,20.69583344,549,1922,80.72986718,Grassland
icr033735,38.28279114,4.22260284,Ethiopia,Mega,8,2,Subsoil,65.656,1.31,8.24,0.2823258,0.2539984,22.17,20.69583344,549,1922,86.32841037,Other
icr033737,38.2786293,4.21852016,Ethiopia,Mega,8,3,Subsoil,90.771,1.07,8.48,0.2778504,0.2780045,20.52,20.69583344,549,1922,82.98115947,Other
icr033738,38.28138733,4.2197752,Ethiopia,Mega,8,4,Topsoil,77.532,1.21,8.26,0.297621,0.2601727,21.02,20.69583344,549,1922,81.60386058,Other
icr033739,38.28138733,4.2197752,Ethiopia,Mega,8,4,Subsoil,86.932,1.05,8.94,0.3111244,0.3464605,14.29,20.69583344,549,1922,76.9007623,Other
icr033741,38.28526688,4.22215319,Ethiopia,Mega,8,5,Subsoil,62.372,1.36,8.19,0.2936491,0.2656239,16.73,20.61250003,554,1920,85.59072586,Other
icr033748,38.28692245,4.21692801,Ethiopia,Mega,8,9,Topsoil,50.912,2.34,8.34,0.1780268,0.2687922,11.32,20.61250003,554,1920,79.98558898,Other
icr033749,38.28692245,4.21692801,Ethiopia,Mega,8,9,Subsoil,41.805,0.88,7.96,0.2173497,0.2575687,13.98,20.61250003,554,1920,79.13987162,Other
icr033750,38.2857933,4.21704292,Ethiopia,Mega,8,10,Topsoil,45.571,1.12,8.13,0.2114855,0.3646397,14.72,20.61250003,554,1920,82.6092178,Other
icr033751,38.2857933,4.21704292,Ethiopia,Mega,8,10,Subsoil,47.809,1.24,8.07,0.2417445,0.2595973,17.87,20.61250003,554,1920,84.29330238,Other
icr033754,38.31644821,4.14839697,Ethiopia,Mega,9,2,Topsoil,77.594,3.38,7.87,0.3029378,0.2705239,37.52,20.42499995,552,1889,83.35397721,Other
icr033756,38.31225967,4.14694691,Ethiopia,Mega,9,3,Topsoil,38.925,2.28,7.92,0.2277591,0.2351751,24.46,20.42499995,552,1889,81.50193865,Other
icr033757,38.31182098,4.15185022,Ethiopia,Mega,9,4,Topsoil,65.172,1.93,7.85,0.2590756,0.2195026,24.25,20.55416663,550,1904,80.99109022,Other
icr033760,38.31252289,4.1490469,Ethiopia,Mega,9,5,Subsoil,76.406,1.49,7.94,0.2223845,0.1909749,24.84,20.42499995,552,1889,80.15664523,Other
icr033767,38.31561279,4.14657784,Ethiopia,Mega,9,9,Topsoil,77.337,3.87,7.93,0.3667995,0.2737481,45.71,20.42499995,552,1889,87.77396279,Other
icr033768,38.31561279,4.14657784,Ethiopia,Mega,9,9,Subsoil,74.525,3.16,7.81,0.3193014,0.3054461,44.03,20.42499995,552,1889,87.05435468,Other
icr033769,38.31761932,4.14711189,Ethiopia,Mega,9,10,Topsoil,75.395,2.16,7.76,0.2589262,0.2450328,31.51,20.63749989,547,1907,80.49219399,Other
icr033772,38.30709839,4.1779871,Ethiopia,Mega,10,1,Subsoil,83.24,1.1,7.69,0.2121892,0.1765612,22.12,20.8041666,538,1920,79.92593902,Grassland
icr033780,38.30542374,4.17737818,Ethiopia,Mega,10,5,Subsoil,78.274,1.17,7.79,0.2310579,0.1959473,25.62,20.8041666,538,1920,81.31159188,Other
icr033781,38.29984665,4.17719698,Ethiopia,Mega,10,6,Topsoil,68.092,2.18,7.87,0.2181312,0.1842543,26.26,20.75833337,538,1917,79.40215693,Grassland
icr033782,38.29984665,4.17719698,Ethiopia,Mega,10,6,Subsoil,85.842,1.4,7.81,0.2127533,0.1901546,24.51,20.75833337,538,1917,79.70144248,Grassland
icr033787,38.30702591,4.17324495,Ethiopia,Mega,10,9,Topsoil,43.265,0.79,8.14,0.4425049,0.5442799,14.86,20.72499994,542,1919,76.4740474,Other
icr033792,38.30604172,4.1927681,Ethiopia,Mega,11,1,Subsoil,55.7295,1.43,7.92,0.2897309,0.3744844,22.26,20.85833323,543,1933,83.83089519,Grassland
icr033801,38.30686569,4.19523716,Ethiopia,Mega,11,6,Topsoil,62.045,1.5,7.69,0.2165991,0.2091049,17.37,20.85833323,543,1933,68.44093704,Grassland
icr033805,38.30689621,4.19896793,Ethiopia,Mega,11,8,Topsoil,9.658,0.95,7.88,0.1793673,0.1974103,9.2,20.85833323,543,1933,71.20817837,Grassland
icr033815,38.31162262,4.21298313,Ethiopia,Mega,12,3,Topsoil,84.609,1.26,8.45,0.3157597,0.2865731,26.83,20.97083334,540,1942,83.0692413,Other
icr033819,38.3169632,4.21460199,Ethiopia,Mega,12,5,Topsoil,78.606,1.51,7.78,0.2146173,0.2017162,22.44,21.05000007,537,1944,81.59621043,Other
icr033820,38.3169632,4.21460199,Ethiopia,Mega,12,5,Subsoil,86.157,1.26,7.79,0.2465397,0.2563613,26.02,21.05000007,537,1944,83.20821867,Other
icr033824,38.31598282,4.21502495,Ethiopia,Mega,12,7,Subsoil,80.445,1.06,7.99,0.2139112,0.224358,22.8,20.97083334,540,1942,82.86116058,Other
icr033833,38.33436966,4.14253807,Ethiopia,Mega,13,2,Topsoil,80.982,2.8,7.86,0.2520898,0.1731674,38.4,20.92499995,546,1934,84.39262921,Other
icr033834,38.33436966,4.14253807,Ethiopia,Mega,13,2,Subsoil,78.91,2.11,8.11,0.2441392,0.2012872,31.5,20.92499995,546,1934,83.20643192,Other
icr033845,38.3312645,4.13801813,Ethiopia,Mega,13,8,Topsoil,78.13,2.98,7.77,0.2718792,0.1802804,41.51,20.6166666,550,1905,85.54296218,Other
icr033846,38.3312645,4.13801813,Ethiopia,Mega,13,8,Subsoil,81.21,2.41,8.27,0.2501972,0.1815169,33.96,20.6166666,550,1905,84.73769314,Other
icr033847,38.32624817,4.14480305,Ethiopia,Mega,13,9,Topsoil,77.582,3.17,7.91,0.2832829,0.2318118,39.72,20.79166663,546,1923,81.5768545,Other
icr033856,38.32977676,4.163867,Ethiopia,Mega,14,4,Subsoil,54.893,1.43,7.84,0.1888361,0.1337042,21.56,20.85000006,548,1935,79.69508525,Grassland
icr033858,38.3355217,4.163517,Ethiopia,Mega,14,5,Subsoil,74.527,1.83,7.95,0.1944645,0.1489765,28.4,20.94583337,545,1936,81.20989098,Other
icr033863,38.3324585,4.16698217,Ethiopia,Mega,14,8,Topsoil,75.156,1.74,7.99,0.2193642,0.1468978,27.43,20.9083333,544,1936,86.35230981,Other
icr033864,38.3324585,4.16698217,Ethiopia,Mega,14,8,Subsoil,79.217,1.3,8.44,0.2076086,0.1497595,21.33,20.9083333,544,1936,84.65394198,Other
icr033866,38.32835388,4.16747713,Ethiopia,Mega,14,9,Subsoil,80.698,1.24,8.55,0.2385253,0.2043777,17.99,20.9083333,544,1936,80.06043995,Other
icr033869,38.32829285,4.16889811,Ethiopia,Mega,14,15,Topsoil,75.895,1.88,7.94,0.2275298,0.1525692,27.19,20.9083333,544,1936,81.84512897,Other
icr033873,38.33042145,4.19949484,Ethiopia,Mega,15,2,Topsoil,56.964,1.28,8.25,0.1907561,0.2292596,20.94,21,542,1947,83.35113922,Grassland
icr033874,38.33848572,4.19631481,Ethiopia,Mega,15,3,Topsoil,79.705,2.49,7.82,0.2535407,0.1654391,30.9,20.9958334,544,1943,82.41310402,Grassland
icr033877,38.33654404,4.20029688,Ethiopia,Mega,15,4,Subsoil,69.158,1.7,8.02,0.2709151,0.2420854,27.2,20.90833326,551,1935,89.14694121,Grassland
icr033879,38.33189011,4.19465685,Ethiopia,Mega,15,5,Subsoil,61.45,1.6,8.04,0.1910728,0.1705817,21.83,21,542,1947,83.90299836,Grassland
icr033880,38.33455658,4.20192814,Ethiopia,Mega,15,6,Topsoil,68.694,2.25,8.03,0.2553866,0.2108876,29.92,20.90833326,551,1935,85.56613759,Grassland
icr033881,38.33455658,4.20192814,Ethiopia,Mega,15,6,Subsoil,70.862,1.87,7.97,0.2573958,0.2226075,24.64,20.90833326,551,1935,87.12534549,Grassland
icr033885,38.33581161,4.19613504,Ethiopia,Mega,15,8,Subsoil,67.166,1.83,8.16,0.2599403,0.2908461,27.32,20.9958334,544,1943,87.32063873,Grassland
icr033893,38.32568359,4.21153307,Ethiopia,Mega,16,2,Subsoil,93.104,0.91,8.18,0.2752251,0.3155563,18.16,21.0083334,542,1942,77.79131404,Other
icr033895,38.32643509,4.20844507,Ethiopia,Mega,16,3,Subsoil,90.166,1.45,8.49,0.2879781,0.2802259,24.73,21.0083334,542,1942,81.70861869,Other
icr033896,38.33229446,4.21124792,Ethiopia,Mega,16,4,Topsoil,75.063,1.66,8.29,0.2319395,0.2029181,30.42,21.0083334,542,1942,86.02096767,Other
icr033897,38.33229446,4.21124792,Ethiopia,Mega,16,4,Subsoil,92.174,1.33,8.05,0.2653547,0.288045,25.49,21.0083334,542,1942,85.34063526,Other
icr033901,38.3288002,4.21191692,Ethiopia,Mega,16,6,Subsoil,83.635,1.4,8.08,0.2600036,0.2783885,27.16,21.0083334,542,1942,83.11086719,Other
icr033902,38.32635117,4.20682287,Ethiopia,Mega,16,7,Topsoil,77.468,1.68,8.1,0.23845,0.2077271,26.25,21.0375001,542,1948,82.49174373,Other
icr033903,38.32635117,4.20682287,Ethiopia,Mega,16,7,Subsoil,79.603,1.17,7.94,0.2229831,0.198019,28.89,21.0375001,542,1948,83.72767228,Other
icr033904,38.32725525,4.2079401,Ethiopia,Mega,16,8,Topsoil,68.731,2.09,7.94,0.2545652,0.1916206,32.53,21.0375001,542,1948,82.64452904,Other
icr033907,38.32553864,4.21362305,Ethiopia,Mega,16,9,Subsoil,77.444,1.15,8.03,0.2490134,0.2470693,25.23,21.0083334,542,1942,83.63853031,Other
icr034011,9.880528333,8.12667833,Nigeria,Ibi,6,1,Subsoil,23.518,0.32,7.27,0.0469345,0.0504149,1.34,27.63333337,1340,1859,86.10207377,Other
icr034422,9.348373333,6.97757667,Nigeria,Katsina Ala,9,1,Topsoil,26.335,0.5,6.15,0.0624366,0.0623724,1.26,26.86250011,1700,1619,91.11777151,Cropland
icr034914,4.696635,6.780285,Nigeria,Imorun,16,1,Subsoil,45.764,1.45,4.39,0.1394464,0.1240664,0.99,26.0999999,1713,1448,94.70290156,Forest
icr037453,-5.534058333,11.32941667,Mali,Finnkolo,3,1,Topsoil,33.598,0.9,5.82,0.0668566,0.0763761,2.25,27.27916702,1057,2280,91.41713084,Cropland
icr037454,-5.534058333,11.32941667,Mali,Finnkolo,3,1,Subsoil,50.498,0.52,5.65,0.0906561,0.1071637,1.66,27.27916702,1057,2280,94.26348991,Cropland
icr037476,-5.52968,11.34459667,Mali,Finnkolo,4,2,Subsoil,30,0.2,4.58,0.1306075,0.0540254,0.1,27.0541664,1056,2289,96.40551445,Cropland
icr037531,-5.518538333,11.32956833,Mali,Finnkolo,7,1,Topsoil,32.48,0.33,5.9,0.0967941,0.0620163,0.92,27.14583341,1056,2280,93.88439497,Cropland
icr037532,-5.518538333,11.32956833,Mali,Finnkolo,7,1,Subsoil,38.188,0.25,5.57,0.1387326,0.0873323,1.02,27.14583341,1056,2280,95.35161638,Cropland
icr037574,-5.486493333,11.28301667,Mali,Finnkolo,9,5,Topsoil,25.742,0.49,5.76,0.0868252,0.0411699,1.17,26.8499999,1068,2271,92.66255834,Cropland
icr037575,-5.486493333,11.28301667,Mali,Finnkolo,9,5,Subsoil,29.067,0.28,5.15,0.1234675,0.0523831,0.36,26.8499999,1068,2271,94.57469914,Cropland
icr037590,-5.48807,11.30168667,Mali,Finnkolo,10,2,Topsoil,41.704,1.31,6.16,0.1336433,0.1040718,3.31,26.87916652,1064,2271,92.32830717,Forest
icr037621,-5.496258333,11.31536667,Mali,Finnkolo,11,8,Subsoil,52.732,0.33,4.94,0.2034524,0.1110934,0.76,26.97500006,1060,2276,98.04739283,Cropland
icr037626,-5.48847,11.351895,Mali,Finnkolo,12,1,Topsoil,33.605,0.45,5.49,0.1597975,0.0735944,1.19,27.02499994,1053,2281,96.0693627,Cropland
icr037676,-5.470245,11.294715,Mali,Finnkolo,14,8,Subsoil,54.847,1.24,5.01,0.245417,0.194047,0.65,26.72083346,1072,2252,98.03858769,Grassland
icr037689,-5.466885,11.32902667,Mali,Finnkolo,15,6,Topsoil,54.193,1.6,4.75,0.202054,0.1480964,1.23,26.875,1055,2280,96.92515751,Other
icr037699,-5.469775,11.34972,Mali,Finnkolo,16,2,Topsoil,87.774,0.68,4.87,0.2151975,0.1267139,2.58,26.8416667,1055,2275,96.8065697,Other
icr037767,10.22336667,5.26178333,Cameroon,Bana,2,1,Topsoil,64.271,1.89,4.25,0.2630605,0.2750514,0.59,23.17916679,2004,1445,97.09311202,Cropland
icr037788,10.22913667,5.28236667,Cameroon,Bana,3,1,Subsoil,72.382,1.01,4.44,0.2806306,0.2724725,0.12,23.1541667,1974,1464,96.36410609,Forest
icr037808,10.22817,5.30309333,Cameroon,Bana,4,1,Subsoil,56.731,1.57,4.65,0.255403,0.4674169,1.47,23.16666667,1985,1455,89.87946211,Cropland
icr037843,10.258085,5.238615,Cameroon,Bana,5,9,Topsoil,78.992,2.21,4.59,0.4026718,0.3691371,1.26,22.96250002,2002,1434,99.05345812,Cropland
icr037869,10.242555,5.27953833,Cameroon,Bana,7,2,Topsoil,57.886,3.17,4.89,0.4513518,0.4421362,3.06,23.1291666,1999,1447,92.58522448,Grassland
icr037901,10.249175,5.30427333,Cameroon,Bana,8,8,Topsoil,76.763,2.34,5.2,0.3640322,0.6567614,2.56,22.92083343,1951,1463,97.18729512,Cropland
icr037927,10.26777667,5.25545667,Cameroon,Bana,10,1,Topsoil,60.708,3.2,4.82,0.4221199,0.9522892,6.14,22.98750011,2011,1427,94.32431062,Cropland
icr037928,10.26777667,5.25545667,Cameroon,Bana,10,1,Subsoil,47.621,1.45,5.31,0.3751923,0.8051107,1.63,22.98750011,2011,1427,96.60274945,Cropland
icr037948,10.27224833,5.28252333,Cameroon,Bana,11,2,Subsoil,51.817,0.56,4.88,0.2551263,0.1267183,0.23,22.64583321,1948,1449,96.26132386,Grassland
icr037969,10.26682167,5.29722333,Cameroon,Bana,12,3,Topsoil,46.295,1.06,4.56,0.1478247,0.1384976,0.73,22.97916667,1973,1446,90.21912592,Forest
icr037986,10.28871167,5.233795,Cameroon,Bana,13,1,Topsoil,74.32,4.3,4.61,0.6722036,0.459156,7.24,22.88333337,1998,1429,97.76840991,Cropland
icr037987,10.28871167,5.233795,Cameroon,Bana,13,1,Subsoil,85.374,3.08,5.55,0.7216154,0.4861365,3.47,22.88333337,1998,1429,98.7763007,Cropland
icr038017,10.28552,5.25533,Cameroon,Bana,14,8,Subsoil,42.737,1.95,5.11,0.224485,0.3897523,1.34,22.50000004,1953,1436,93.90438906,Cropland
icr038034,10.28513333,5.28465667,Cameroon,Bana,15,5,Topsoil,73.87,3.35,4.93,0.5662162,0.2838229,1.33,21.72083314,1949,1426,98.65799335,Cropland
icr038102,39.57580185,11.26471329,Ethiopia,Kutaber,1,3,Topsoil,87.596,2.52,6.17,0.3331636,1.38906,31.23,14.91249996,951,1699,85.31343794,Cropland
icr038105,39.57511139,11.2601223,Ethiopia,Kutaber,1,4,Subsoil,88.965,2.39,6.91,0.3219459,0.59499,48.4,14.91249996,951,1699,92.48767803,Grassland
icr038107,39.57683945,11.26593208,Ethiopia,Kutaber,1,5,Subsoil,69.616,1.15,6.81,0.4568912,0.85904,33.4,14.91249996,951,1699,79.31430846,Cropland
icr038110,39.57110596,11.26671982,Ethiopia,Kutaber,1,7,Topsoil,46.143,4.99,6.53,0.3604179,0.76647,27.81,14.60416673,950,1692,65.7683534,Grassland
icr038113,39.57421494,11.26533508,Ethiopia,Kutaber,1,8,Subsoil,93.326,1.28,5.76,0.1811984,0.45532,19.87,14.82916669,952,1695,89.92824852,Cropland
icr038116,39.57174301,11.26214695,Ethiopia,Kutaber,1,10,Topsoil,76.425,3.84,5.87,0.368774,1.04282,27.03,14.82916669,952,1695,84.92251155,Cropland
icr038118,39.5773468,11.28125763,Ethiopia,Kutaber,2,1,Topsoil,56.542,1.04,6.59,0.2695504,1.05409,36.63,14.38333325,960,1680,79.89061513,Grassland
icr038133,39.573246,11.2834301,Ethiopia,Kutaber,2,9,Subsoil,24.664,0.33,6.98,0.2856007,1.33925,32.14,14.08333329,959,1669,79.37448849,Grassland
icr038137,39.57587051,11.30571842,Ethiopia,Kutaber,3,1,Subsoil,78.675,1.97,6.71,0.2089713,0.4589302,31.26,15.69166646,928,1742,75.3561649,Cropland
icr038142,39.57203674,11.3087883,Ethiopia,Kutaber,3,5,Topsoil,58.342,2.08,6.64,0.2735424,0.7611473,26.88,15.74999994,925,1749,72.57812747,Grassland
icr038144,39.57461166,11.30973339,Ethiopia,Kutaber,3,6,Subsoil,68.42,0.42,7.02,0.2962165,0.558812,34.24,15.74999994,925,1749,93.95144444,Cropland
icr038147,39.57326889,11.30547237,Ethiopia,Kutaber,3,8,Topsoil,64.889,1.82,6.38,0.2891824,0.5773731,25.84,15.16666671,926,1719,79.62892109,Cropland
icr038148,39.57326889,11.30547237,Ethiopia,Kutaber,3,8,Subsoil,67.044,0.83,6.25,0.2460932,0.2939093,25.69,15.16666671,926,1719,78.06341715,Cropland
icr038154,39.57241058,11.32647038,Ethiopia,Kutaber,4,3,Topsoil,79.674,1.79,6.52,0.3053377,0.7179944,26.57,15.22083328,917,1737,81.7366597,Cropland
icr038156,39.57732391,11.32659245,Ethiopia,Kutaber,4,4,Topsoil,79.892,1.64,6.19,0.3152598,0.8503174,24.13,14.27083339,929,1697,83.87246991,Cropland
icr038158,39.57382965,11.32730293,Ethiopia,Kutaber,4,5,Topsoil,67.243,1.03,6.58,0.2945914,0.5791417,29.92,15.22083328,917,1737,80.82035673,Cropland
icr038162,39.57367325,11.32533169,Ethiopia,Kutaber,4,8,Topsoil,79.662,1.18,6.52,0.3031571,0.643544,23.21,15.22083328,917,1737,82.02012795,Cropland
icr038167,39.57783127,11.32202816,Ethiopia,Kutaber,4,13,Topsoil,76.603,2.6,6.4,0.3624762,0.9429469,31.89,14.67083331,923,1712,80.37629978,Cropland
icr038169,39.57459641,11.3239603,Ethiopia,Kutaber,4,14,Topsoil,60.699,1.87,6.29,0.4565024,0.8818796,23.65,15.75833335,920,1754,90.43778303,Cropland
icr038191,39.59731674,11.28712463,Ethiopia,Kutaber,6,2,Topsoil,79.891,2.81,5.76,0.3533429,3.13863,32.91,15.43333334,951,1727,86.8137559,Grassland
icr038193,39.59342194,11.28139973,Ethiopia,Kutaber,6,3,Topsoil,70.323,2.78,6.24,0.331389,0.64944,23.71,15.21250014,956,1713,81.6253241,Grassland
icr038197,39.59400177,11.28927708,Ethiopia,Kutaber,6,5,Topsoil,69.883,2.53,6.08,0.2539296,0.44858,22.52,15.43333334,951,1727,82.69343378,Cropland
icr038199,39.59495163,11.28421688,Ethiopia,Kutaber,6,6,Subsoil,79.113,0.64,6.33,0.3339006,0.53051,32.9,15.43333334,951,1727,84.36083966,Cropland
icr038200,39.59297562,11.28449821,Ethiopia,Kutaber,6,7,Topsoil,85.356,1.88,5.9,0.1739425,0.37991,18.35,15.43333334,951,1727,89.46197178,Other
icr038202,39.59861755,11.28509045,Ethiopia,Kutaber,6,8,Topsoil,69.677,5.06,5.57,0.3686119,1.61085,31.43,15.43333334,951,1727,85.27963168,Grassland
icr038218,39.59435272,11.30890274,Ethiopia,Kutaber,7,6,Topsoil,71.517,6.2,4.99,0.3460467,1.80325,20.47,15.25833346,924,1731,85.98119705,Grassland
icr038219,39.59435272,11.30890274,Ethiopia,Kutaber,7,6,Subsoil,70.196,3.18,5.95,0.311855,1.64459,20.34,15.25833346,924,1731,86.0560947,Grassland
icr038226,39.59240341,11.3074131,Ethiopia,Kutaber,7,14,Subsoil,87.062,1.15,5.88,0.3058117,1.02463,24.47,15.11249999,937,1721,84.33099899,Cropland
icr038227,39.59209442,11.32841492,Ethiopia,Kutaber,8,1,Topsoil,56.684,1.3,6.49,0.1773843,0.11111,30.67,16.0875,920,1775,80.36315748,Cropland
icr038228,39.59209442,11.32841492,Ethiopia,Kutaber,8,1,Subsoil,38.773,0.41,6.24,0.1926621,0.04092,33,16.0875,920,1775,69.93081634,Cropland
icr038229,39.59220886,11.33040524,Ethiopia,Kutaber,8,2,Topsoil,54.338,1.85,7.02,0.2241171,0.18714,28.77,16.0875,920,1775,76.36108851,Cropland
icr038230,39.59220886,11.33040524,Ethiopia,Kutaber,8,2,Subsoil,47.743,2.68,7.5,0.3911864,0.28663,24.69,16.0875,920,1775,66.46001663,Cropland
icr038236,39.59096909,11.32820988,Ethiopia,Kutaber,8,6,Topsoil,59.451,2.44,6.52,0.2138461,0.33962,24.68,15.04999995,919,1731,65.33789052,Grassland
icr038239,39.59345627,11.33263302,Ethiopia,Kutaber,8,8,Topsoil,95.295,3.84,6.09,0.6430137,2.46853,29.26,16.0875,920,1775,88.19726672,Cropland
icr038242,39.59540176,11.33280659,Ethiopia,Kutaber,8,10,Topsoil,74.729,2.63,6.6,0.2647392,0.3693812,26.51,16.0875,920,1775,76.56591396,Cropland
icr038243,39.59540176,11.33280659,Ethiopia,Kutaber,8,10,Subsoil,71.262,1.7,7.13,0.2255461,0.3123681,18.5,16.0875,920,1775,79.20795076,Cropland
icr038249,39.62216949,11.26413727,Ethiopia,Kutaber,9,4,Topsoil,97.52,4.04,6.99,0.4232065,1.009726,36.57,15.18333326,953,1718,74.18467876,Forest
icr038256,39.61853409,11.26209545,Ethiopia,Kutaber,9,7,Subsoil,100.002,0.82,6.66,0.2347638,0.769317,28.11,15.18333326,953,1718,86.54239284,Forest
icr038258,39.61483383,11.26339245,Ethiopia,Kutaber,9,8,Subsoil,80.254,1.42,6.61,0.3828932,0.812604,29.92,14.6874999,958,1691,86.84996475,Cropland
icr038260,39.61717224,11.26780701,Ethiopia,Kutaber,9,9,Subsoil,79.281,2.04,6.1,0.3054029,1.31425,25.93,15.42916675,950,1730,86.00702191,Cropland
icr038263,39.62153625,11.28281784,Ethiopia,Kutaber,10,1,Topsoil,64.61,1.56,6.41,0.2298353,0.3474321,27.08,15.89583331,959,1747,84.49276455,Grassland
icr038273,39.61522293,11.28393459,Ethiopia,Kutaber,10,6,Topsoil,45.9945,2.32,6.31,0.6736798,0.4457064,39.61,15.53749988,951,1733,79.92618967,Forest
icr038278,39.61720657,11.28648663,Ethiopia,Kutaber,10,8,Subsoil,75.146,2.48,6.44,0.4480917,0.8576433,35.96,16.53749994,961,1778,85.49650432,Cropland
